Label (Grouping),United States!!Estimate,United States!!Margin of Error,United States!!Percent,United States!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,"Barrow County, Georgia!!Estimate","Barrow County, Georgia!!Margin of Error","Barrow County, Georgia!!Percent","Barrow County, Georgia!!Percent Margin of Error","Bartow County, Georgia!!Estimate","Bartow County, Georgia!!Margin of Error","Bartow County, Georgia!!Percent","Bartow County, Georgia!!Percent Margin of Error","Bibb County, Georgia!!Estimate","Bibb County, Georgia!!Margin of Error","Bibb County, Georgia!!Percent","Bibb County, Georgia!!Percent Margin of Error","Bulloch County, Georgia!!Estimate","Bulloch County, Georgia!!Margin of Error","Bulloch County, Georgia!!Percent","Bulloch County, Georgia!!Percent Margin of Error","Carroll County, Georgia!!Estimate","Carroll County, Georgia!!Margin of Error","Carroll County, Georgia!!Percent","Carroll County, Georgia!!Percent Margin of Error","Catoosa County, Georgia!!Estimate","Catoosa County, Georgia!!Margin of Error","Catoosa County, Georgia!!Percent","Catoosa County, Georgia!!Percent Margin of Error","Chatham County, Georgia!!Estimate","Chatham County, Georgia!!Margin of Error","Chatham County, Georgia!!Percent","Chatham County, Georgia!!Percent Margin of Error","Cherokee County, Georgia!!Estimate","Cherokee County, Georgia!!Margin of Error","Cherokee County, Georgia!!Percent","Cherokee County, Georgia!!Percent Margin of Error","Clarke County, Georgia!!Estimate","Clarke County, Georgia!!Margin of Error","Clarke County, Georgia!!Percent","Clarke County, Georgia!!Percent Margin of Error","Clayton County, Georgia!!Estimate","Clayton County, Georgia!!Margin of Error","Clayton County, Georgia!!Percent","Clayton County, Georgia!!Percent Margin of Error","Cobb County, Georgia!!Estimate","Cobb County, Georgia!!Margin of Error","Cobb County, Georgia!!Percent","Cobb County, Georgia!!Percent Margin of Error","Columbia County, Georgia!!Estimate","Columbia County, Georgia!!Margin of Error","Columbia County, Georgia!!Percent","Columbia County, Georgia!!Percent Margin of Error","Coweta County, Georgia!!Estimate","Coweta County, Georgia!!Margin of Error","Coweta County, Georgia!!Percent","Coweta County, Georgia!!Percent Margin of Error","DeKalb County, Georgia!!Estimate","DeKalb County, Georgia!!Margin of Error","DeKalb County, Georgia!!Percent","DeKalb County, Georgia!!Percent Margin of Error","Dougherty County, Georgia!!Estimate","Dougherty County, Georgia!!Margin of Error","Dougherty County, Georgia!!Percent","Dougherty County, Georgia!!Percent Margin of Error","Douglas County, Georgia!!Estimate","Douglas County, Georgia!!Margin of Error","Douglas County, Georgia!!Percent","Douglas County, Georgia!!Percent Margin of Error","Effingham County, Georgia!!Estimate","Effingham County, Georgia!!Margin of Error","Effingham County, Georgia!!Percent","Effingham County, Georgia!!Percent Margin of Error","Fayette County, Georgia!!Estimate","Fayette County, Georgia!!Margin of Error","Fayette County, Georgia!!Percent","Fayette County, Georgia!!Percent Margin of Error","Floyd County, Georgia!!Estimate","Floyd County, Georgia!!Margin of Error","Floyd County, Georgia!!Percent","Floyd County, Georgia!!Percent Margin of Error","Forsyth County, Georgia!!Estimate","Forsyth County, Georgia!!Margin of Error","Forsyth County, Georgia!!Percent","Forsyth County, Georgia!!Percent Margin of Error","Fulton County, Georgia!!Estimate","Fulton County, Georgia!!Margin of Error","Fulton County, Georgia!!Percent","Fulton County, Georgia!!Percent Margin of Error","Glynn County, Georgia!!Estimate","Glynn County, Georgia!!Margin of Error","Glynn County, Georgia!!Percent","Glynn County, Georgia!!Percent Margin of Error","Gwinnett County, Georgia!!Estimate","Gwinnett County, Georgia!!Margin of Error","Gwinnett County, Georgia!!Percent","Gwinnett County, Georgia!!Percent Margin of Error","Hall County, Georgia!!Estimate","Hall County, Georgia!!Margin of Error","Hall County, Georgia!!Percent","Hall County, Georgia!!Percent Margin of Error","Henry County, Georgia!!Estimate","Henry County, Georgia!!Margin of Error","Henry County, Georgia!!Percent","Henry County, Georgia!!Percent Margin of Error","Houston County, Georgia!!Estimate","Houston County, Georgia!!Margin of Error","Houston County, Georgia!!Percent","Houston County, Georgia!!Percent Margin of Error","Jackson County, Georgia!!Estimate","Jackson County, Georgia!!Margin of Error","Jackson County, Georgia!!Percent","Jackson County, Georgia!!Percent Margin of Error","Liberty County, Georgia!!Estimate","Liberty County, Georgia!!Margin of Error","Liberty County, Georgia!!Percent","Liberty County, Georgia!!Percent Margin of Error","Lowndes County, Georgia!!Estimate","Lowndes County, Georgia!!Margin of Error","Lowndes County, Georgia!!Percent","Lowndes County, Georgia!!Percent Margin of Error","Muscogee County, Georgia!!Estimate","Muscogee County, Georgia!!Margin of Error","Muscogee County, Georgia!!Percent","Muscogee County, Georgia!!Percent Margin of Error","Newton County, Georgia!!Estimate","Newton County, Georgia!!Margin of Error","Newton County, Georgia!!Percent","Newton County, Georgia!!Percent Margin of Error","Paulding County, Georgia!!Estimate","Paulding County, Georgia!!Margin of Error","Paulding County, Georgia!!Percent","Paulding County, Georgia!!Percent Margin of Error","Richmond County, Georgia!!Estimate","Richmond County, Georgia!!Margin of Error","Richmond County, Georgia!!Percent","Richmond County, Georgia!!Percent Margin of Error","Rockdale County, Georgia!!Estimate","Rockdale County, Georgia!!Margin of Error","Rockdale County, Georgia!!Percent","Rockdale County, Georgia!!Percent Margin of Error","Spalding County, Georgia!!Estimate","Spalding County, Georgia!!Margin of Error","Spalding County, Georgia!!Percent","Spalding County, Georgia!!Percent Margin of Error","Troup County, Georgia!!Estimate","Troup County, Georgia!!Margin of Error","Troup County, Georgia!!Percent","Troup County, Georgia!!Percent Margin of Error","Walker County, Georgia!!Estimate","Walker County, Georgia!!Margin of Error","Walker County, Georgia!!Percent","Walker County, Georgia!!Percent Margin of Error","Walton County, Georgia!!Estimate","Walton County, Georgia!!Margin of Error","Walton County, Georgia!!Percent","Walton County, Georgia!!Percent Margin of Error","Whitfield County, Georgia!!Estimate","Whitfield County, Georgia!!Margin of Error","Whitfield County, Georgia!!Percent","Whitfield County, Georgia!!Percent Margin of Error"
        60 to 64 years,"21,728,465","±68,510",6.4%,±0.1,"693,397","±11,606",6.2%,±0.1,"5,445","±1,004",5.7%,±1.0,"8,002","±1,228",6.8%,±1.0,"8,237","±1,377",5.2%,±0.9,"4,359",±673,5.1%,±0.8,"8,701",±968,6.7%,±0.7,"5,202",±965,7.5%,±1.4,"17,234","±1,817",5.6%,±0.6,"20,596","±2,086",7.0%,±0.7,"5,022","±1,077",3.9%,±0.8,"17,520","±1,840",5.9%,±0.6,"51,009","±3,249",6.5%,±0.4,"8,984","±1,498",5.4%,±0.9,"11,849","±1,679",7.5%,±1.1,"48,994","±2,572",6.4%,±0.3,"5,156",±933,6.3%,±1.1,"7,651","±1,169",5.0%,±0.8,"4,627","±1,017",6.3%,±1.4,"8,545","±1,422",6.8%,±1.1,"5,831","±1,022",5.8%,±1.0,"14,051","±1,590",5.0%,±0.6,"57,028","±3,608",5.2%,±0.3,"5,358",±970,6.2%,±1.1,"60,061","±3,124",6.0%,±0.3,"14,068","±1,805",6.3%,±0.8,"18,165","±1,621",7.0%,±0.6,"12,657","±1,416",7.2%,±0.8,"6,420","±1,050",6.8%,±1.1,"2,613",±584,3.8%,±0.9,"7,047",±939,5.8%,±0.8,"12,115","±1,405",6.0%,±0.7,"7,377","±1,087",5.9%,±0.9,"9,971","±1,455",5.3%,±0.8,"12,651","±1,611",6.1%,±0.8,"6,598","±1,238",6.8%,±1.3,"4,281",±763,6.1%,±1.1,"5,186",±886,7.3%,±1.2,"4,322",±796,6.2%,±1.1,"7,856","±1,117",7.2%,±1.0,"4,946",±962,4.7%,±0.9
        65 to 74 years,"35,585,091","±21,264",10.5%,±0.1,"1,053,887","±5,444",9.4%,±0.1,"7,952",±745,8.3%,±0.8,"10,769",±768,9.2%,±0.7,"15,424",±160,9.8%,±0.1,"7,035",±410,8.2%,±0.5,"11,147",±342,8.6%,±0.3,"7,560",±352,11.0%,±0.5,"31,493",±642,10.2%,±0.2,"29,378","±1,002",10.0%,±0.3,"10,754",±653,8.3%,±0.5,"24,434","±1,298",8.2%,±0.4,"68,615",±524,8.7%,±0.1,"16,179","±1,016",9.7%,±0.6,"15,075",±731,9.5%,±0.5,"67,480","±1,083",8.8%,±0.1,"8,895",±133,10.8%,±0.2,"12,949",±508,8.5%,±0.3,"5,790",±265,7.9%,±0.4,"14,999",±505,12.0%,±0.4,"9,777",±518,9.6%,±0.5,"20,525",±780,7.3%,±0.3,"86,545",±167,7.9%,±0.1,"11,730",±761,13.6%,±0.9,"77,162",±148,7.7%,±0.1,"21,148","±1,051",9.5%,±0.5,"21,424",±573,8.3%,±0.2,"15,274",±763,8.7%,±0.4,"8,799",±814,9.4%,±0.9,"4,865",±348,7.1%,±0.5,"10,588",±654,8.7%,±0.5,"18,519",±726,9.2%,±0.4,"10,028",±143,8.1%,±0.1,"15,393",±766,8.2%,±0.4,"20,410",±479,9.9%,±0.2,"10,166",±717,10.4%,±0.7,"7,500",±371,10.7%,±0.5,"6,972",±817,9.7%,±1.1,"8,099",±500,11.7%,±0.7,"10,996","±1,017",10.0%,±0.9,"8,227",±822,7.8%,±0.8
        75 to 84 years,"19,317,039","±35,788",5.7%,±0.1,"557,728","±6,155",5.0%,±0.1,"3,711",±654,3.9%,±0.7,"5,428",±477,4.6%,±0.4,"8,561",±762,5.5%,±0.5,"3,477",±421,4.1%,±0.5,"5,673",±592,4.4%,±0.5,"4,854",±608,7.0%,±0.9,"16,791","±1,510",5.5%,±0.5,"15,983","±1,443",5.4%,±0.5,"5,480",±546,4.2%,±0.4,"8,041","±1,184",2.7%,±0.4,"35,631","±1,651",4.5%,±0.2,"9,299",±964,5.6%,±0.6,"8,124",±694,5.1%,±0.4,"34,540","±1,731",4.5%,±0.2,"4,548",±520,5.5%,±0.6,"5,849",±794,3.9%,±0.5,"2,996",±551,4.1%,±0.8,"7,554",±940,6.0%,±0.8,"5,745",±714,5.7%,±0.7,"12,045","±1,301",4.3%,±0.5,"46,382","±2,102",4.3%,±0.2,"6,931",±742,8.0%,±0.9,"34,829","±1,541",3.5%,±0.2,"12,365","±1,100",5.6%,±0.5,"10,758",±672,4.1%,±0.3,"7,069","±1,065",4.0%,±0.6,"4,599",±373,4.9%,±0.4,"1,988",±383,2.9%,±0.6,"4,827",±684,4.0%,±0.6,"10,154","±1,297",5.0%,±0.6,"5,356",±478,4.3%,±0.4,"7,085",±869,3.8%,±0.5,"9,180",±890,4.4%,±0.4,"5,417",±538,5.5%,±0.6,"6,186",±451,8.8%,±0.6,"3,656",±609,5.1%,±0.9,"5,080",±695,7.3%,±1.0,"6,078",±895,5.5%,±0.8,"5,718","±1,019",5.4%,±1.0
        85 years and over,"6,343,153","±34,356",1.9%,±0.1,"153,988","±5,733",1.4%,±0.1,"1,615",±705,1.7%,±0.7,"1,402",±620,1.2%,±0.5,"2,580",±763,1.6%,±0.5,718,±273,0.8%,±0.3,"1,812",±531,1.4%,±0.4,"1,194",±494,1.7%,±0.7,"5,469","±1,235",1.8%,±0.4,"4,269","±1,424",1.5%,±0.5,"1,025",±463,0.8%,±0.4,"2,576",±747,0.9%,±0.3,"10,021","±1,561",1.3%,±0.2,"2,208",±786,1.3%,±0.5,"2,139",±644,1.4%,±0.4,"10,747","±1,863",1.4%,±0.2,"1,584",±516,1.9%,±0.6,"1,276",±821,0.8%,±0.5,840,±450,1.1%,±0.6,"3,850",±962,3.1%,±0.8,"1,453",±619,1.4%,±0.6,"4,115","±1,203",1.5%,±0.4,"14,018","±2,047",1.3%,±0.2,"2,186",±812,2.5%,±0.9,"9,818","±1,532",1.0%,±0.2,"4,048","±1,117",1.8%,±0.5,"1,519",±564,0.6%,±0.2,"3,178",±878,1.8%,±0.5,469,±332,0.5%,±0.4,465,±239,0.7%,±0.3,"1,751",±789,1.4%,±0.6,"3,167","±1,003",1.6%,±0.5,"1,204",±489,1.0%,±0.4,"1,215",±552,0.6%,±0.3,"3,545",±855,1.7%,±0.4,"1,054",±603,1.1%,±0.6,389,±211,0.6%,±0.3,"1,214",±571,1.7%,±0.8,"1,331",±584,1.9%,±0.8,"1,779",±573,1.6%,±0.5,"1,998",±577,1.9%,±0.5
        Median age (years),39.2,±0.1,(X),(X),38.0,±0.2,(X),(X),36.8,±0.6,(X),(X),39.5,±1.0,(X),(X),36.6,±0.4,(X),(X),31.8,±1.2,(X),(X),35.3,±0.9,(X),(X),40.9,±1.2,(X),(X),36.9,±0.5,(X),(X),41.0,±0.8,(X),(X),29.5,±0.2,(X),(X),34.6,±0.4,(X),(X),37.9,±0.3,(X),(X),39.0,±1.2,(X),(X),40.5,±0.6,(X),(X),36.8,±0.3,(X),(X),37.5,±1.0,(X),(X),37.3,±1.2,(X),(X),38.4,±2.5,(X),(X),43.6,±1.0,(X),(X),38.3,±0.9,(X),(X),39.6,±0.5,(X),(X),36.8,±0.2,(X),(X),44.7,±1.5,(X),(X),36.5,±0.2,(X),(X),38.9,±1.0,(X),(X),37.4,±0.5,(X),(X),36.9,±0.7,(X),(X),37.6,±1.2,(X),(X),29.7,±0.4,(X),(X),32.7,±0.7,(X),(X),36.1,±0.5,(X),(X),37.8,±1.7,(X),(X),37.0,±0.9,(X),(X),35.5,±0.3,(X),(X),38.8,±1.3,(X),(X),41.1,±1.8,(X),(X),37.2,±1.6,(X),(X),43.6,±0.5,(X),(X),40.0,±0.9,(X),(X),36.7,±0.8,(X),(X)
        Under 18 years,"72,929,312","±31,522",21.4%,±0.1,"2,531,131","±2,975",22.6%,±0.1,"23,698",*****,24.6%,*****,"26,360",±51,22.4%,±0.1,"38,115",±280,24.3%,±0.2,"16,088",±998,18.8%,±1.2,"30,608",±374,23.6%,±0.3,"13,961",±5,20.3%,±0.1,"61,657",±120,20.1%,±0.1,"63,620",±149,21.7%,±0.1,"21,154",*****,16.3%,*****,"76,209",±169,25.6%,±0.1,"172,422",*****,21.9%,*****,"40,489",±142,24.2%,±0.1,"35,356",±424,22.3%,±0.3,"170,902",±144,22.2%,±0.1,"19,573",±349,23.7%,±0.4,"36,950",±244,24.3%,±0.2,"18,908",±173,25.8%,±0.2,"27,233",±114,21.8%,±0.1,"22,832",±208,22.5%,±0.2,"69,187",±361,24.7%,±0.1,"222,303",*****,20.4%,*****,"17,199",±130,19.9%,±0.2,"252,705",±40,25.2%,±0.1,"51,205",±66,23.1%,±0.1,"63,900",±101,24.6%,±0.1,"44,005",±140,25.2%,±0.1,"23,336",±37,24.9%,±0.1,"18,997",±251,27.7%,±0.4,"29,752",±402,24.4%,±0.3,"49,613",±5,24.6%,±0.1,"30,884",±311,24.9%,±0.3,"46,287",±501,24.5%,±0.3,"46,734",±62,22.7%,±0.1,"22,429",±405,23.0%,±0.4,"16,130",*****,22.9%,*****,"17,357",±44,24.3%,±0.1,"13,665",±39,19.7%,±0.1,"25,282",±628,23.0%,±0.6,"25,103",±237,23.9%,±0.2
        16 years and over,"276,249,478","±52,420",81.2%,±0.1,"8,972,406","±8,019",80.2%,±0.1,"74,523",±590,77.4%,±0.6,"94,210",±782,80.2%,±0.7,"124,598",±989,79.3%,±0.6,"71,842",±913,84.1%,±1.1,"103,457",±721,79.6%,±0.6,"57,249",±465,83.0%,±0.7,"253,787",±840,82.6%,±0.3,"238,893",±918,81.4%,±0.3,"110,702",±915,85.2%,±0.7,"231,388","±1,699",77.7%,±0.6,"638,158","±1,433",81.0%,±0.2,"132,343",±859,79.0%,±0.5,"126,858",±904,80.2%,±0.6,"619,107","±1,987",80.4%,±0.3,"65,362",±841,79.3%,±1.0,"119,915","±1,269",79.0%,±0.8,"56,109",±661,76.7%,±0.9,"102,829",±594,82.2%,±0.5,"81,490",±733,80.4%,±0.7,"220,202","±1,374",78.6%,±0.5,"894,892","±1,793",82.1%,±0.2,"73,075",±836,84.4%,±1.0,"785,087","±2,161",78.2%,±0.2,"178,081",±746,80.3%,±0.3,"203,856","±1,100",78.6%,±0.4,"135,782",±929,77.6%,±0.5,"73,634",±656,78.5%,±0.7,"51,026",±673,74.4%,±1.0,"95,526",±894,78.2%,±0.7,"157,277",±903,77.9%,±0.4,"97,467",±844,78.6%,±0.7,"148,409",±953,78.7%,±0.5,"165,174",±942,80.1%,±0.5,"77,789",±861,79.7%,±0.9,"56,312",±354,80.1%,±0.5,"55,566",±119,77.7%,±0.2,"57,203",±601,82.5%,±0.9,"87,103",±883,79.3%,±0.8,"84,006",±494,80.0%,±0.5
        18 years and over,"267,181,678","±31,516",78.6%,±0.1,"8,649,747","±2,975",77.4%,±0.1,"72,596",*****,75.4%,*****,"91,148",±51,77.6%,±0.1,"118,941",±280,75.7%,±0.2,"69,366",±998,81.2%,±1.2,"99,303",±374,76.4%,±0.3,"54,979",±5,79.7%,±0.1,"245,679",±120,79.9%,±0.1,"229,893",±149,78.3%,±0.1,"108,841",*****,83.7%,*****,"221,494",±169,74.4%,±0.1,"615,116",*****,78.1%,*****,"126,983",±142,75.8%,±0.1,"122,877",±424,77.7%,±0.3,"599,405",±144,77.8%,±0.1,"62,845",±349,76.3%,±0.4,"114,937",±244,75.7%,±0.2,"54,240",±173,74.2%,±0.2,"97,874",±114,78.2%,±0.1,"78,558",±208,77.5%,±0.2,"210,909",±361,75.3%,±0.1,"868,051",*****,79.6%,*****,"69,341",±130,80.1%,±0.2,"751,164",±40,74.8%,±0.1,"170,540",±66,76.9%,±0.1,"195,415",±101,75.4%,±0.1,"130,892",±140,74.8%,±0.1,"70,489",±37,75.1%,±0.1,"49,610",±251,72.3%,±0.4,"92,330",±402,75.6%,±0.3,"152,217",±5,75.4%,±0.1,"93,126",±311,75.1%,±0.3,"142,262",±501,75.5%,±0.3,"159,569",±62,77.3%,±0.1,"75,181",±405,77.0%,±0.4,"54,162",*****,77.1%,*****,"54,156",±44,75.7%,±0.1,"55,675",±39,80.3%,±0.1,"84,510",±628,77.0%,±0.6,"79,967",±237,76.1%,±0.2
        21 years and over,"253,717,216","±84,391",74.6%,±0.1,"8,190,829","±11,819",73.3%,±0.1,"69,148",±740,71.8%,±0.8,"87,718",±632,74.6%,±0.5,"110,442","±1,301",70.3%,±0.8,"58,959","±1,911",69.0%,±2.2,"92,007","±1,469",70.8%,±1.1,"52,173",±840,75.7%,±1.2,"230,974","±1,574",75.2%,±0.5,"219,323","±1,458",74.7%,±0.5,"91,307","±2,624",70.2%,±2.0,"209,885","±2,125",70.5%,±0.7,"583,175","±1,944",74.1%,±0.2,"121,229","±1,563",72.4%,±0.9,"116,884","±1,309",73.9%,±0.8,"574,034","±1,841",74.5%,±0.2,"58,117",±987,70.5%,±1.2,"109,512","±1,930",72.1%,±1.3,"51,905",±824,71.0%,±1.1,"93,423",±848,74.7%,±0.7,"72,673","±1,215",71.7%,±1.2,"200,743","±1,854",71.7%,±0.7,"822,727","±2,651",75.5%,±0.2,"67,419","±1,019",77.9%,±1.2,"710,430","±1,986",70.8%,±0.2,"163,612",±920,73.8%,±0.4,"183,469","±1,936",70.8%,±0.7,"125,261","±1,056",71.6%,±0.6,"67,006","±1,081",71.4%,±1.2,"46,697","±1,106",68.1%,±1.6,"87,097","±1,262",71.3%,±1.0,"145,357","±1,154",72.0%,±0.6,"85,812","±1,676",69.2%,±1.4,"135,497","±1,546",71.9%,±0.8,"150,279","±1,342",72.8%,±0.7,"71,922","±1,207",73.7%,±1.2,"50,717","±1,264",72.2%,±1.8,"51,875","±1,015",72.5%,±1.4,"53,701",±695,77.4%,±1.0,"79,369",±999,72.3%,±0.9,"76,605",±924,72.9%,±0.9
        62 years and over,"74,266,307","±64,234",21.8%,±0.1,"2,177,452","±10,779",19.5%,±0.1,"16,079",±908,16.7%,±0.9,"22,059",±942,18.8%,±0.8,"32,189",±939,20.5%,±0.6,"13,965",±932,16.3%,±1.1,"23,741","±1,148",18.3%,±0.9,"16,848","±1,181",24.4%,±1.7,"63,190","±1,464",20.6%,±0.5,"61,656","±1,869",21.0%,±0.6,"20,450",±995,15.7%,±0.8,"46,183","±2,246",15.5%,±0.8,"145,992","±2,852",18.5%,±0.4,"33,805","±1,465",20.2%,±0.9,"33,905","±1,936",21.4%,±1.2,"139,936","±2,700",18.2%,±0.4,"18,099",±813,22.0%,±1.0,"24,355","±1,016",16.0%,±0.7,"12,640",±795,17.3%,±1.1,"31,358","±1,254",25.1%,±1.0,"20,059",±977,19.8%,±1.0,"44,606","±1,696",15.9%,±0.6,"180,474","±3,049",16.6%,±0.3,"24,334",±940,28.1%,±1.1,"156,704","±3,401",15.6%,±0.3,"45,126","±1,519",20.4%,±0.7,"43,707","±1,624",16.9%,±0.6,"33,526","±1,714",19.2%,±1.0,"17,328","±1,175",18.5%,±1.3,"8,561",±523,12.5%,±0.8,"20,934","±1,200",17.1%,±1.0,"38,937","±1,694",19.3%,±0.8,"21,086","±1,223",17.0%,±1.0,"29,082","±1,543",15.4%,±0.8,"41,161","±1,624",20.0%,±0.8,"20,798","±1,319",21.3%,±1.4,"17,288",±822,24.6%,±1.2,"14,481","±1,223",20.2%,±1.7,"17,273","±1,101",24.9%,±1.6,"23,444","±1,320",21.4%,±1.2,"19,401","±1,240",18.5%,±1.2
        65 years and over,"61,245,283","±24,867",18.0%,±0.1,"1,765,603","±5,455",15.8%,±0.1,"13,278",±673,13.8%,±0.7,"17,599",±777,15.0%,±0.7,"26,565",±342,16.9%,±0.2,"11,230",±574,13.1%,±0.7,"18,632",±305,14.3%,±0.2,"13,608",±434,19.7%,±0.6,"53,753",±403,17.5%,±0.1,"49,630",±812,16.9%,±0.3,"17,259",±660,13.3%,±0.5,"35,051","±1,598",11.8%,±0.5,"114,267",±220,14.5%,±0.1,"27,686","±1,060",16.5%,±0.6,"25,338",±699,16.0%,±0.4,"112,767",±889,14.6%,±0.1,"15,027",±200,18.2%,±0.2,"20,074",±530,13.2%,±0.3,"9,626",±421,13.2%,±0.6,"26,403",±521,21.1%,±0.4,"16,975",±632,16.7%,±0.6,"36,685","±1,033",13.1%,±0.4,"146,945",±248,13.5%,±0.1,"20,847",±639,24.1%,±0.7,"121,809",±197,12.1%,±0.1,"37,561",±893,16.9%,±0.4,"33,701",±476,13.0%,±0.2,"25,521",±572,14.6%,±0.3,"13,867",±805,14.8%,±0.9,"7,318",±269,10.7%,±0.4,"17,166",±739,14.1%,±0.6,"31,840",±753,15.8%,±0.4,"16,588",±231,13.4%,±0.2,"23,693",±629,12.6%,±0.3,"33,135",±618,16.1%,±0.3,"16,637","±1,028",17.0%,±1.1,"14,075",±268,20.0%,±0.4,"11,842",±639,16.6%,±0.9,"14,510",±853,20.9%,±1.2,"18,853",±856,17.2%,±0.8,"15,943",±949,15.2%,±0.9
        18 years and over,"267,181,678","±31,516","267,181,678",(X),"8,649,747","±2,975","8,649,747",(X),"72,596",*****,"72,596",(X),"91,148",±51,"91,148",(X),"118,941",±280,"118,941",(X),"69,366",±998,"69,366",(X),"99,303",±374,"99,303",(X),"54,979",±5,"54,979",(X),"245,679",±120,"245,679",(X),"229,893",±149,"229,893",(X),"108,841",*****,"108,841",(X),"221,494",±169,"221,494",(X),"615,116",*****,"615,116",(X),"126,983",±142,"126,983",(X),"122,877",±424,"122,877",(X),"599,405",±144,"599,405",(X),"62,845",±349,"62,845",(X),"114,937",±244,"114,937",(X),"54,240",±173,"54,240",(X),"97,874",±114,"97,874",(X),"78,558",±208,"78,558",(X),"210,909",±361,"210,909",(X),"868,051",*****,"868,051",(X),"69,341",±130,"69,341",(X),"751,164",±40,"751,164",(X),"170,540",±66,"170,540",(X),"195,415",±101,"195,415",(X),"130,892",±140,"130,892",(X),"70,489",±37,"70,489",(X),"49,610",±251,"49,610",(X),"92,330",±402,"92,330",(X),"152,217",±5,"152,217",(X),"93,126",±311,"93,126",(X),"142,262",±501,"142,262",(X),"159,569",±62,"159,569",(X),"75,181",±405,"75,181",(X),"54,162",*****,"54,162",(X),"54,156",±44,"54,156",(X),"55,675",±39,"55,675",(X),"84,510",±628,"84,510",(X),"79,967",±237,"79,967",(X)
            Male,"130,938,715","±26,572",49.0%,±0.1,"4,148,234","±4,554",48.0%,±0.1,"35,566",±260,49.0%,±0.4,"44,767",±336,49.1%,±0.4,"53,512",±477,45.0%,±0.4,"33,567","±1,116",48.4%,±1.0,"46,986",±393,47.3%,±0.3,"26,132",±489,47.5%,±0.9,"114,795",±508,46.7%,±0.2,"112,777",±182,49.1%,±0.1,"50,556",±390,46.4%,±0.4,"101,237",±129,45.7%,±0.1,"296,429",*****,48.2%,*****,"61,090",±492,48.1%,±0.4,"59,497",±828,48.4%,±0.6,"278,496",±251,46.5%,±0.1,"27,783",±454,44.2%,±0.5,"53,289",±370,46.4%,±0.3,"26,992",±338,49.8%,±0.6,"46,600",±436,47.6%,±0.4,"37,054",±260,47.2%,±0.3,"103,658",±722,49.1%,±0.3,"415,232",±178,47.8%,±0.1,"32,436",±619,46.8%,±0.9,"364,289",±104,48.5%,±0.1,"84,397",±282,49.5%,±0.2,"89,964",±101,46.0%,±0.1,"61,922",±418,47.3%,±0.3,"34,223",±305,48.6%,±0.4,"25,199",±462,50.8%,±1.0,"42,977",±483,46.5%,±0.4,"70,901",±505,46.6%,±0.3,"42,518",±490,45.7%,±0.5,"68,249",±832,48.0%,±0.5,"75,234",±415,47.1%,±0.3,"34,292",±622,45.6%,±0.7,"25,115",±239,46.4%,±0.4,"24,957",±273,46.1%,±0.5,"26,480",±330,47.6%,±0.6,"40,961",±711,48.5%,±0.6,"40,057",±229,50.1%,±0.2
            Female,"136,242,963","±22,586",51.0%,±0.1,"4,501,513","±3,965",52.0%,±0.1,"37,030",±260,51.0%,±0.4,"46,381",±351,50.9%,±0.4,"65,429",±402,55.0%,±0.4,"35,799",±419,51.6%,±1.0,"52,317",±388,52.7%,±0.3,"28,847",±489,52.5%,±0.9,"130,884",±478,53.3%,±0.2,"117,116",±150,50.9%,±0.1,"58,285",±389,53.6%,±0.4,"120,257",±224,54.3%,±0.1,"318,687",*****,51.8%,*****,"65,893",±521,51.9%,±0.4,"63,380",±730,51.6%,±0.6,"320,909",±183,53.5%,±0.1,"35,062",±260,55.8%,±0.5,"61,648",±326,53.6%,±0.3,"27,248",±286,50.2%,±0.6,"51,274",±442,52.4%,±0.4,"41,504",±237,52.8%,±0.3,"107,251",±650,50.9%,±0.3,"452,819",±179,52.2%,±0.1,"36,905",±611,53.2%,±0.9,"386,875",±108,51.5%,±0.1,"86,143",±274,50.5%,±0.2,"105,451",±137,54.0%,±0.1,"68,970",±388,52.7%,±0.3,"36,266",±297,51.4%,±0.4,"24,411",±536,49.2%,±1.0,"49,353",±226,53.5%,±0.4,"81,316",±506,53.4%,±0.3,"50,608",±470,54.3%,±0.5,"74,013",±708,52.0%,±0.5,"84,335",±405,52.9%,±0.3,"40,889",±462,54.4%,±0.7,"29,047",±239,53.6%,±0.4,"29,199",±284,53.9%,±0.5,"29,195",±336,52.4%,±0.6,"43,549",±362,51.5%,±0.6,"39,910",±180,49.9%,±0.2
